Statistics
https://foundation.wikimedia.org/wiki/Privacy_policy 247 0 401 0 0 648
https://meta.wikimedia.org/wiki/Wikimedia_chapters 113 0 90 0 0 203
"https://ru.wikipedia.org/wiki/%D0%90%D1%81%D1%81%D0%B0%D0%BD%D0%B6,_%D0%94%D0%B6%D1%83%D0%BB%D0%B8%D0%B0%D0%BD 3 131 11 1 20 166"
https://meta.wikimedia.org/wiki/Wikimedia_User_Groups 62 0 87 0 0 149
https://meta.wikimedia.org/wiki/Wikimedia_Thematic_Organizations 68 0 77 0 0 145
https://foundation.wikimedia.org/wiki/Cookie_statement 51 0 73 0 0 124
https://meta.wikimedia.org/wiki/Grants:Table 51 0 60 0 0 111
https://wikimediafoundation.org/ 34 0 40 0 0 74
https://meta.wikimedia.org/wiki/Projects 27 0 47 0 0 74
https://www.mediawiki.org/wiki/Special:MyLanguage/How_to_contribute 26 0 27 0 0 53
